id,h_name,description,createdAt,updatedAt
ROLE_ADMIN,管理员,管理员,2016-09-29 10:17:07,2016-09-29 10:17:10
ROLE_ROOT,根用户,超级管理员,2016-09-29 10:16:42,2016-09-29 10:16:45
ROLE_USER,普通用户,普通用户,2016-09-29 10:18:22,2016-09-29 10:18:24
