id,lang,note,createdAt,updatedAt
1,普通话,,2016-08-24,2016-08-24
2,粤语,,2016-08-24,2016-08-24
3,英语,,2016-08-24,2016-08-24
4,日语,,2016-08-24,2016-08-24
5,俄语,,2016-08-24,2016-08-24
6,德语,,2016-08-24,2016-08-24
7,法语,,2016-08-24,2016-08-24
8,西班牙语,,2016-08-24,2016-08-24
9,葡萄牙语,,2016-08-24,2016-08-24
10,阿拉伯语,,2016-08-24,2016-08-24
11,其他,,2016-08-24,2016-08-24
